Suburb,Address,Rooms,Price,SellerG,Date,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname
Abbotsford,25 Bloomburg St,2,1035000.0,Biggin,4/02/2016,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra City Council,-37.8079,144.9934,Northern Metropolitan
Abbotsford,5 Charles St,3,1465000.0,Biggin,4/03/2017,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra City Council,-37.8093,144.9944,Northern Metropolitan
Abbotsford,55a Park St,4,1600000.0,Nelson,4/06/2016,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra City Council,-37.8072,144.9941,Northern Metropolitan
Abbotsford,124 Yarra St,3,1876000.0,Nelson,7/05/2016,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra City Council,-37.8024,144.9993,Northern Metropolitan
Abbotsford,98 Charles St,2,1636000.0,Nelson,8/10/2016,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra City Council,-37.806,144.9954,Northern Metropolitan
Abbotsford,10 Valiant St,2,1097000.0,Biggin,8/10/2016,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra City Council,-37.801,144.9989,Northern Metropolitan
Abbotsford,40 Nicholson St,3,1350000.0,Nelson,12/11/2016,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra City Council,-37.8085,144.9964,Northern Metropolitan
Abbotsford,16 William St,2,1310000.0,Jellis,15/10/2016,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra City Council,-37.809,144.9976,Northern Metropolitan
Abbotsford,42 Henry St,3,1200000.0,Jellis,16/07/2016,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra City Council,-37.8056,144.993,Northern Metropolitan
Abbotsford,78 Yarra St,3,1176500.0,LITTLE,16/07/2016,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra City Council,-37.8021,144.9965,Northern Metropolitan
Abbotsford,42 Valiant St,2,890000.0,Biggin,17/09/2016,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra City Council,-37.8011,145.0004,Northern Metropolitan
Abbotsford,3/72 Charles St,4,1330000.0,Kay,18/03/2017,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra City Council,-37.8073,144.9952,Northern Metropolitan
Abbotsford,52a William St,2,1100000.0,Biggin,18/06/2016,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra City Council,-37.8079,144.9977,Northern Metropolitan
Abbotsford,49 Park St,2,1315000.0,Marshall,19/11/2016,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra City Council,-37.808,144.994,Northern Metropolitan
Abbotsford,48 Abbotsford St,3,1447500.0,Nelson,22/08/2016,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra City Council,-37.8017,145.0001,Northern Metropolitan
Abbotsford,159 Park St,2,1135000.0,Nelson,22/08/2016,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra City Council,-37.8005,144.9952,Northern Metropolitan
Abbotsford,60 Stafford St,3,1290000.0,Biggin,25/02/2017,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra City Council,-37.8007,144.9958,Northern Metropolitan
Abbotsford,47 Studley St,2,1180000.0,Jellis,27/11/2016,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra City Council,-37.8016,144.9956,Northern Metropolitan
Abbotsford,45 Yarra St,3,1195000.0,Jellis,27/11/2016,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra City Council,-37.8022,144.9954,Northern Metropolitan
Abbotsford,200 Nicholson St,2,1012500.0,Nelson,28/05/2016,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra City Council,-37.8021,144.9976,Northern Metropolitan
Abbotsford,27 Charles St,2,1030000.0,Biggin,30/07/2016,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra City Council,-37.8086,144.9946,Northern Metropolitan
Airport West,50 Bedford St,3,730000.0,Nelson,3/12/2016,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan
Airport West,50 Bedford St,3,770000.0,Nelson,4/03/2017,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan
Airport West,23 Hart St,2,603000.0,Nelson,4/03/2017,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan
Airport West,1/37 Hillside Gr,3,600000.0,Maddison,4/03/2017,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan
Airport West,11 Harrington Rd,6,725000.0,Barry,7/05/2016,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan
Airport West,3 Deidre Ct,3,895000.0,Rendina,10/09/2016,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan
Airport West,13 Etzel St,3,805000.0,Nelson,10/12/2016,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan
Airport West,180 Parer Rd,3,830000.0,Barry,16/04/2016,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan
Airport West,174 Parer Rd,2,675000.0,Barry,16/07/2016,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan
