Suburb,Address,Rooms,Type,Price,Date,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname
Abbotsford,25 Bloomburg St,2,h,1035000.0,4/02/2016,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,Northern Metropolitan
Abbotsford,5 Charles St,3,h,1465000.0,4/03/2017,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,Northern Metropolitan
Abbotsford,55a Park St,4,h,1600000.0,4/06/2016,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,Northern Metropolitan
Abbotsford,16 Maugie St,4,h,,6/08/2016,2.5,3.0,2.0,2.0,400.0,220.0,2006.0,-37.7965,144.9965,Northern Metropolitan
Abbotsford,124 Yarra St,3,h,1876000.0,7/05/2016,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,Northern Metropolitan
Abbotsford,121/56 Nicholson St,2,u,,7/11/2016,2.5,2.0,2.0,1.0,,82.0,2009.0,-37.8078,144.9965,Northern Metropolitan
Abbotsford,17 Raphael St,4,h,,7/11/2016,2.5,6.0,2.0,0.0,230.0,147.0,1860.0,-37.8066,144.9936,Northern Metropolitan
Abbotsford,98 Charles St,2,h,1636000.0,8/10/2016,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,Northern Metropolitan
Abbotsford,10 Valiant St,2,h,1097000.0,8/10/2016,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,Northern Metropolitan
Abbotsford,2 Rich St,2,h,,10/12/2016,2.5,2.0,1.0,1.0,176.0,80.0,1925.0,-37.7998,144.9972,Northern Metropolitan
Abbotsford,40 Nicholson St,3,h,1350000.0,12/11/2016,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,Northern Metropolitan
Abbotsford,123/56 Nicholson St,2,u,750000.0,12/11/2016,2.5,2.0,2.0,1.0,0.0,94.0,2009.0,-37.8078,144.9965,Northern Metropolitan
Abbotsford,16 William St,2,h,1310000.0,15/10/2016,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,Northern Metropolitan
Abbotsford,16/11 Nicholson St,3,u,,16/04/2016,2.5,3.0,2.0,2.0,0.0,129.0,2010.0,-37.8093,144.9959,Northern Metropolitan
Abbotsford,42 Henry St,3,h,1200000.0,16/07/2016,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,Northern Metropolitan
Abbotsford,78 Yarra St,3,h,1176500.0,16/07/2016,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,Northern Metropolitan
Abbotsford,42 Valiant St,2,h,890000.0,17/09/2016,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,Northern Metropolitan
Abbotsford,3/72 Charles St,4,h,1330000.0,18/03/2017,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,Northern Metropolitan
Abbotsford,1/1 Mayfield St,3,h,,18/03/2017,2.5,3.0,2.0,1.0,119.0,167.0,2005.0,-37.8082,144.9999,Northern Metropolitan
Abbotsford,6/219 Nicholson St,2,u,500000.0,18/06/2016,2.5,2.0,1.0,1.0,0.0,60.0,1970.0,-37.8015,144.9972,Northern Metropolitan
Abbotsford,52a William St,2,h,1100000.0,18/06/2016,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,Northern Metropolitan
Abbotsford,49 Park St,2,h,1315000.0,19/11/2016,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,-37.808,144.994,Northern Metropolitan
Abbotsford,48 Abbotsford St,3,h,1447500.0,22/08/2016,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001,Northern Metropolitan
Abbotsford,159 Park St,2,h,1135000.0,22/08/2016,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,-37.8005,144.9952,Northern Metropolitan
Abbotsford,60 Stafford St,3,h,1290000.0,25/02/2017,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958,Northern Metropolitan
Abbotsford,11/205 Gipps St,1,u,470000.0,26/07/2016,2.5,1.0,1.0,1.0,0.0,50.0,2013.0,-37.8055,144.9961,Northern Metropolitan
Abbotsford,47 Studley St,2,h,1180000.0,27/11/2016,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,-37.8016,144.9956,Northern Metropolitan
Abbotsford,45 Yarra St,3,h,1195000.0,27/11/2016,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,-37.8022,144.9954,Northern Metropolitan
Abbotsford,200 Nicholson St,2,h,1012500.0,28/05/2016,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,-37.8021,144.9976,Northern Metropolitan
Abbotsford,27 Charles St,2,h,1030000.0,30/07/2016,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,-37.8086,144.9946,Northern Metropolitan
Airport West,154 Halsey Rd,3,t,840000.0,3/09/2016,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,-37.718,144.878,Western Metropolitan
Airport West,50 Bedford St,3,h,730000.0,3/12/2016,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,Western Metropolitan
Airport West,50 Bedford St,3,h,770000.0,4/03/2017,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,Western Metropolitan
Airport West,5 Harrington Rd,3,h,,4/03/2017,13.5,3.0,1.0,1.0,580.0,114.0,1960.0,-37.7235,144.8736,Western Metropolitan
Airport West,23 Hart St,2,h,603000.0,4/03/2017,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,-37.7294,144.888,Western Metropolitan
Airport West,1/80 Hawker St,3,t,700000.0,4/03/2017,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,-37.7218,144.8837,Western Metropolitan
Airport West,1/37 Hillside Gr,3,h,600000.0,4/03/2017,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744,Western Metropolitan
Airport West,2/49 McIntosh St,2,u,500000.0,4/03/2017,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,-37.7215,144.8864,Western Metropolitan
Airport West,11 Harrington Rd,6,h,725000.0,7/05/2016,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735,Western Metropolitan
Airport West,2/252 Parer Rd,2,t,450000.0,7/05/2016,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871,Western Metropolitan
Airport West,3/19 Hart St,2,u,515000.0,7/11/2016,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883,Western Metropolitan
Airport West,2/62 Clydesdale Rd,2,u,530000.0,10/09/2016,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792,Western Metropolitan
Airport West,3 Deidre Ct,3,h,895000.0,10/09/2016,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728,Western Metropolitan
Airport West,13 Etzel St,3,h,805000.0,10/12/2016,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,-37.7217,144.8783,Western Metropolitan
Airport West,1/43 Cameron St,3,u,752000.0,11/02/2017,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855,Western Metropolitan
Airport West,2/40 Earl St,3,t,700000.0,15/10/2016,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,Western Metropolitan
Airport West,180 Parer Rd,3,h,830000.0,16/04/2016,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,Western Metropolitan
Airport West,174 Parer Rd,2,h,675000.0,16/07/2016,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,Western Metropolitan
Airport West,138 Victory Rd,3,h,1042000.0,16/07/2016,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,Western Metropolitan
Airport West,6 Kittyhawk St,4,h,773000.0,17/09/2016,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,Western Metropolitan
Airport West,478 Fullarton Rd,3,h,810000.0,18/03/2017,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,Western Metropolitan
Airport West,144 Marshall Rd,3,h,715000.0,18/03/2017,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,Western Metropolitan
Airport West,3/7 South Rd,3,t,540000.0,18/06/2016,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,Western Metropolitan
Airport West,37 North St,3,t,825000.0,19/11/2016,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,Western Metropolitan
Airport West,10 Hilbert Rd,3,h,685000.0,22/05/2016,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,Western Metropolitan
Airport West,85 Roberts Rd,4,h,900000.0,27/11/2016,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,Western Metropolitan
Albert Park,105 Kerferd Rd,2,h,1275000.0,3/09/2016,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,Southern Metropolitan
Albert Park,112 Beaconsfield Pde,3,h,2850000.0,4/03/2017,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,-37.8481,144.9499,Southern Metropolitan
Albert Park,94 Graham St,3,h,1850000.0,4/03/2017,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,Southern Metropolitan
Albert Park,396 Montague St,2,h,1436000.0,4/03/2017,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,Southern Metropolitan
Albert Park,9 Boyd St,3,h,,6/08/2016,3.3,2.0,2.0,1.0,336.0,145.0,1890.0,-37.8471,144.9561,Southern Metropolitan
Albert Park,104 Richardson St,4,h,2300000.0,7/05/2016,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523,Southern Metropolitan
Albert Park,81 Richardson St,3,h,,7/05/2016,3.3,3.0,1.0,2.0,316.0,125.0,1880.0,-37.8449,144.9536,Southern Metropolitan
Albert Park,1 Moubray St,3,h,1800000.0,7/11/2016,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,Southern Metropolitan
