hour,day,month,name,price,distance,temperature,apparentTemperature,precipIntensity,precipProbability,humidity,windSpeed,windGust,visibility,dewPoint,pressure,cloudCover,uvIndex,ozone
22,30,11,UberXL,12.0,1.11,40.13,38.08,0.0,0.0,0.6,3.38,3.99,9.833,27.31,1017.16,1.0,0,281.8
10,13,12,Black,16.0,1.11,20.38,20.38,0.0,0.0,0.66,2.94,3.22,9.831,10.87,1031.51,0.03,0,327.3
19,13,12,UberX,7.5,1.11,32.85,32.85,0.0,0.0,0.56,2.65,3.83,9.959,18.66,1033.65,0.64,0,330.8
23,16,12,WAV,7.5,1.11,41.29,36.01,0.0567,0.94,0.86,8.3,8.3,4.053999999999999,37.56,1012.72,1.0,0,325.3
0,14,12,Black SUV,26.0,1.11,31.25,31.25,0.0,0.0,0.64,2.62,3.54,10.0,20.53,1035.06,0.91,0,326.7
19,29,11,UberPool,5.5,1.11,43.49,37.19,0.0,0.0,0.52,12.13,19.97,9.796,26.83,1007.12,0.53,0,309.7
20,17,12,WAV,8.5,2.48,40.4,35.63,0.0,0.0,0.72,6.99,8.23,9.808,31.96,999.8,0.77,0,350.3
3,16,12,UberXL,15.0,2.48,40.68,37.1,0.0,0.0,0.7,5.22,6.35,10.0,31.67,1024.55,0.02,0,296.1
13,27,11,Black,20.5,2.48,44.94,42.13,0.006999999999999999,0.61,0.94,5.23,5.23,3.2310000000000003,43.32,988.09,1.0,0,322.8
10,13,12,UberX,8.5,2.48,20.38,20.38,0.0,0.0,0.66,2.94,3.22,9.831,10.87,1031.51,0.03,0,327.3
22,17,12,UberPool,7.0,2.48,39.75,35.21,0.0,0.0,0.73,6.38,9.37,9.775,31.63,1000.26,0.92,0,364.4
20,14,12,Black SUV,27.5,2.48,45.35,43.63,0.0,0.0,0.57,3.84,4.05,9.854,30.89,1029.37,0.34,0,289.1
4,1,12,Black SUV,29.5,2.94,34.81,34.81,0.0,0.0,0.77,2.98,2.98,9.966000000000001,28.31,1018.55,0.86,0,290.6
14,28,11,WAV,9.5,2.94,39.02,34.01,0.0,0.0,0.65,6.91,9.33,9.908,28.08,991.71,0.37,1,350.4
8,2,12,UberXL,15.0,2.94,38.95,36.97,0.0094,0.66,0.88,3.18,4.16,6.572,35.8,1020.0,1.0,0,270.1
12,14,12,UberX,9.5,2.94,27.93,27.93,0.0,0.0,0.81,2.69,3.71,9.668,22.79,1033.98,0.3,0,292.8
2,27,11,Black,22.0,2.94,43.58,37.35,0.1299,1.0,0.94,11.98,11.98,4.7860000000000005,41.83,1003.97,1.0,0,291.1
6,15,12,UberPool,9.0,2.94,45.84,43.0,0.0,0.0,0.92,5.52,7.33,9.856,43.75,1022.31,1.0,0,298.3
8,13,12,WAV,9.5,1.16,18.97,13.84,0.0,0.0,0.65,3.44,3.44,9.67,9.15,1030.07,0.02,0,326.5
22,28,11,Black,16.5,1.16,40.43,34.59,0.0,0.0,0.64,9.08,12.72,10.0,29.27,994.99,1.0,0,354.8
7,15,12,UberPool,7.0,1.16,46.66,44.16,0.0,0.0,0.91,5.21,7.94,10.0,44.19,1022.09,0.87,0,297.5
13,27,11,UberX,9.5,1.16,44.94,42.13,0.006999999999999999,0.61,0.94,5.23,5.23,3.2310000000000003,43.32,988.09,1.0,0,322.8
18,28,11,Black SUV,27.5,1.16,40.92,35.13,0.0,0.0,0.64,9.21,15.03,10.0,29.57,991.21,1.0,1,353.1
6,29,11,UberXL,13.0,1.16,38.74,32.35,0.0,0.0,0.69,9.42,13.28,9.972000000000001,29.33,1000.05,0.82,0,344.6
10,18,12,WAV,9.5,2.67,25.21,13.25,0.0,0.0,0.52,14.15,26.56,9.734,9.85,1005.95,0.77,0,366.5
2,27,11,UberX,9.5,2.67,43.58,37.35,0.1299,1.0,0.94,11.98,11.98,4.7860000000000005,41.83,1003.97,1.0,0,291.1
20,2,12,WAV,9.5,3.39,49.7,49.7,0.005,0.59,0.96,2.86,2.86,1.348,48.54,1003.5,1.0,0,282.7
13,15,12,UberX,9.5,3.39,47.56,46.32,0.008,0.32,0.9,3.66,5.3,8.904,44.89,1022.68,1.0,0,297.5
8,29,11,UberXL,17.0,3.39,38.61,32.4,0.0,0.0,0.68,8.99,16.24,10.0,28.96,1000.98,0.74,0,343.1
23,27,11,UberPool,10.0,3.39,40.38,35.18,0.0,0.0,0.71,7.73,11.57,10.0,31.61,991.84,0.13,0,308.4
23,16,12,Black SUV,34.0,3.39,41.29,36.01,0.0567,0.94,0.86,8.3,8.3,4.053999999999999,37.56,1012.72,1.0,0,325.3
12,13,12,Black,26.0,3.39,20.01,15.11,0.0,0.0,0.65,3.39,3.39,9.968,9.98,1032.46,0.41,0,329.2
21,17,12,UberXL,18.5,3.39,40.47,35.92,0.0,0.0,0.71,6.64,7.91,9.77,31.95,999.95,0.76,0,354.4
1,30,11,UberPool,11.0,3.39,37.95,32.46,0.0,0.0,0.65,7.34,9.4,9.984,27.2,1011.66,0.0,0,297.9
14,30,11,UberX,11.0,3.39,37.28,34.6,0.0,0.0,0.7,3.6,4.19,10.0,28.36,1017.45,0.02,1,272.9
0,15,12,WAV,11.0,3.39,41.6,39.31,0.0,0.0,0.81,3.84,3.84,9.767999999999999,36.14,1027.4,0.89,0,290.1
23,29,11,Black SUV,36.0,3.39,40.29,34.73,0.0,0.0,0.59,8.43,13.46,9.936,27.29,1010.12,0.22,0,300.1
8,17,12,Black,27.5,3.39,37.83,30.56,0.0216,1.0,0.91,10.88,10.88,3.139,35.31,1004.44,1.0,0,332.2
18,14,12,Black,25.0,2.49,45.82,43.61,0.0,0.0,0.51,4.57,4.57,9.898,28.63,1029.95,0.56,1,288.5
9,16,12,UberX,12.0,2.49,42.34,37.12,0.0,0.0,0.68,8.66,9.17,10.0,32.7,1021.98,0.72,0,303.8
3,18,12,WAV,12.0,2.49,37.26,32.04,0.0,0.0,0.69,6.67,11.38,9.842,28.1,1001.11,0.95,0,365.1
21,28,11,UberXL,18.5,2.49,41.35,35.62,0.0,0.0,0.6,9.29,11.6,10.0,28.39,993.87,1.0,0,355.2
12,27,11,Black SUV,32.5,2.49,46.3,44.19,0.0288,0.94,0.91,4.54,4.54,3.295,43.94,988.29,1.0,0,314.0
18,3,12,UberPool,11.0,2.49,54.62,54.62,0.0,0.0,0.51,11.12,13.65,10.0,37.03,999.16,0.98,1,309.1
9,1,12,Black,27.0,3.07,31.87,27.83,0.0,0.0,0.82,4.09,4.09,9.687000000000001,26.99,1019.9,0.52,0,282.9
2,29,11,UberX,12.0,3.07,37.92,31.91,0.0,0.0,0.71,8.28,12.43,9.981,29.42,997.37,0.75,0,348.9
8,3,12,UberXL,18.5,3.07,45.69,45.69,0.0,0.0,0.95,1.05,1.05,0.7170000000000001,44.36,1000.79,1.0,0,294.4
0,4,12,WAV,12.0,3.07,46.36,44.64,0.0,0.0,0.57,4.03,6.32,10.0,31.82,1002.03,0.01,0,326.9
9,18,12,UberPool,8.5,3.07,26.21,14.47,0.0,0.0,0.51,14.3,27.25,9.392999999999999,10.7,1005.11,0.95,0,365.4
2,15,12,Black SUV,35.0,3.07,42.27,39.99,0.0,0.0,0.89,3.95,3.99,10.0,39.17,1025.28,1.0,0,293.4
14,26,11,WAV,8.0,1.57,43.51,43.51,0.0053,0.57,0.93,2.73,2.73,6.121,41.5,1015.08,1.0,1,295.5
2,10,12,UberXL,13.0,1.57,29.05,24.17,0.0,0.0,0.57,4.46,5.75,10.0,15.74,1020.93,0.0,0,307.3
7,2,12,UberPool,8.0,1.57,38.41,38.41,0.0,0.0,0.85,2.67,4.84,9.443999999999999,34.28,1020.69,1.0,0,269.4
21,3,12,Black SUV,27.0,1.57,50.43,50.43,0.0,0.0,0.5,7.21,10.33,9.972000000000001,32.42,1000.65,0.33,0,317.9
2,3,12,Black,17.0,1.57,46.78,46.78,0.0,0.0,0.96,2.99,2.99,3.036,45.78,1002.75,1.0,0,288.3
6,13,12,UberX,8.0,1.57,19.28,13.96,0.0,0.0,0.57,3.6,3.6,9.868,6.46,1028.56,0.04,0,325.9
18,2,12,UberPool,13.5,3.2,48.23,46.21,0.0341,1.0,0.92,4.88,7.48,1.588,46.13,1006.41,1.0,1,282.8
19,13,12,Black,23.5,3.2,32.85,32.85,0.0,0.0,0.56,2.65,3.83,9.959,18.66,1033.65,0.64,0,330.8
9,1,12,WAV,14.0,3.2,31.87,27.83,0.0,0.0,0.82,4.09,4.09,9.687000000000001,26.99,1019.9,0.52,0,282.9
16,29,11,Black SUV,34.0,3.2,43.91,38.21,0.0,0.0,0.52,10.74,19.29,9.958,27.65,1006.42,0.52,1,321.4
20,28,11,UberXL,26.5,3.2,41.91,36.71,0.0,0.0,0.6,8.42,13.0,10.0,29.05,992.85,1.0,0,355.0
8,17,12,UberX,14.0,3.2,37.83,30.56,0.0216,1.0,0.91,10.88,10.88,3.139,35.31,1004.44,1.0,0,332.2
15,16,12,Black,26.5,3.61,42.25,37.39,0.0,0.0,0.74,7.86,8.19,9.169,34.39,1020.18,1.0,1,324.2
0,3,12,UberX,12.0,3.61,48.45,48.45,0.0,0.0,0.95,2.74,3.14,6.638999999999999,47.14,1002.76,1.0,0,287.9
11,28,11,UberPool,11.0,3.61,35.54,30.98,0.0,0.0,0.73,5.31,7.2,9.933,27.87,991.07,0.76,0,345.8
13,28,11,UberXL,19.5,3.61,35.98,31.03,0.0,0.0,0.7,5.92,5.92,9.843,27.26,991.62,0.44,0,348.0
11,1,12,WAV,12.0,3.61,32.31,28.18,0.0,0.0,0.79,4.24,4.75,9.85,26.59,1021.74,0.67,0,281.4
11,27,11,Black SUV,38.5,3.61,46.23,43.49,0.0488,1.0,0.92,5.47,5.47,3.5639999999999996,44.14,988.85,1.0,0,305.5
15,3,12,Black,23.0,3.05,54.38,54.38,0.0,0.0,0.83,5.81,5.87,9.936,49.27,999.8,0.66,1,301.1
0,28,11,Black SUV,30.5,3.05,39.13,34.07,0.0,0.0,0.73,7.03,10.51,10.0,31.05,991.99,0.12,0,315.1
16,28,11,UberX,10.5,3.05,41.16,35.84,0.0,0.0,0.61,8.33,12.76,10.0,28.91,991.41,0.81,1,352.0
12,1,12,WAV,10.5,3.05,32.07,27.22,0.0,0.0,0.79,4.94,4.94,9.712,26.45,1021.71,0.37,0,279.6
18,18,12,UberXL,17.5,3.05,30.8,20.78,0.0,0.0,0.41,13.14,22.28,9.974,9.69,1010.58,0.0,1,376.6
12,26,11,UberPool,10.0,3.05,41.3,41.3,0.0,0.0,0.93,2.55,2.6,3.475,39.51,1014.97,1.0,0,297.7
6,18,12,UberXL,14.0,2.32,33.71,25.35,0.0017,0.11,0.65,11.05,20.2,5.86,23.09,1001.28,1.0,0,362.1
4,1,12,Black,20.5,2.32,34.81,34.81,0.0,0.0,0.77,2.98,2.98,9.966000000000001,28.31,1018.55,0.86,0,290.6
11,18,12,WAV,9.5,2.32,24.71,12.26,0.0,0.0,0.51,15.0,24.98,9.901,9.22,1006.6,0.77,0,369.6
18,17,12,UberX,9.5,2.32,38.75,33.51,0.0,0.0,0.84,7.19,8.88,8.325,34.41,1000.46,1.0,1,335.8
13,15,12,UberPool,8.5,2.32,47.56,46.32,0.008,0.32,0.9,3.66,5.3,8.904,44.89,1022.68,1.0,0,297.5
19,28,11,UberPool,11.0,4.43,41.47,35.66,0.0,0.0,0.63,9.54,14.86,10.0,29.72,991.85,1.0,0,354.2
3,4,12,Black SUV,36.5,4.43,45.16,41.0,0.0,0.0,0.6,7.73,12.02,10.0,32.06,1002.63,0.53,0,333.6
13,27,11,UberXL,20.5,4.43,44.94,42.13,0.006999999999999999,0.61,0.94,5.23,5.23,3.2310000000000003,43.32,988.09,1.0,0,322.8
5,26,11,UberX,12.5,4.43,41.99,41.99,0.0,0.0,0.91,0.53,0.88,4.675,39.54,1014.11,1.0,0,312.3
2,29,11,WAV,12.5,4.43,37.92,31.91,0.0,0.0,0.71,8.28,12.43,9.981,29.42,997.37,0.75,0,348.9
17,29,11,Black,,4.43,43.91,38.03,0.0,0.0,0.5,11.24,22.48,9.972999999999999,26.27,1006.58,0.31,1,314.0
6,30,11,UberX,11.0,2.84,31.74,28.85,0.0,0.0,0.81,3.12,4.13,9.972000000000001,26.45,1014.31,0.0,0,288.3
2,2,12,Black SUV,33.5,2.84,36.5,36.5,0.0,0.0,0.82,1.92,2.38,9.689,31.68,1023.33,0.46,0,274.1
17,28,11,Black,23.0,2.84,40.77,35.14,0.0,0.0,0.63,8.76,14.9,10.0,29.17,991.33,1.0,1,352.4
11,28,11,WAV,11.0,2.84,35.54,30.98,0.0,0.0,0.73,5.31,7.2,9.933,27.87,991.07,0.76,0,345.8
2,1,12,UberPool,9.5,2.84,36.89,34.35,0.0,0.0,0.71,3.41,4.58,9.884,28.43,1018.23,0.97,0,290.5
18,14,12,UberXL,17.5,2.84,45.82,43.61,0.0,0.0,0.51,4.57,4.57,9.898,28.63,1029.95,0.56,1,288.5
1,30,11,Black SUV,29.5,1.81,37.95,32.46,0.0,0.0,0.65,7.34,9.4,9.984,27.2,1011.66,0.0,0,297.9
14,28,11,WAV,9.5,1.3,39.02,34.01,0.0,0.0,0.65,6.91,9.33,9.908,28.08,991.71,0.37,1,350.4
19,28,11,UberXL,15.0,1.81,41.47,35.66,0.0,0.0,0.63,9.54,14.86,10.0,29.72,991.85,1.0,0,354.2
22,3,12,Black SUV,27.0,1.3,49.11,46.18,0.0,0.0,0.51,6.87,10.16,10.0,31.81,1001.06,0.17,0,319.7
0,2,12,Black,19.5,1.81,35.68,35.68,0.0,0.0,0.81,1.83,2.53,9.857000000000001,30.32,1023.6,0.0,0,274.6
15,28,11,Black,17.5,1.3,41.24,35.9,0.0,0.0,0.6,8.39,12.38,10.0,28.42,991.46,0.74,1,351.9
2,1,12,UberPool,10.0,1.81,36.89,34.35,0.0,0.0,0.71,3.41,4.58,9.884,28.43,1018.23,0.97,0,290.5
13,14,12,UberXL,14.0,1.3,30.58,30.58,0.0,0.0,0.8,2.2,4.28,9.892000000000001,25.09,1034.26,0.03,0,291.2
